DATAFLOW,DONOR,RECIPIENT,SECTOR,MEASURE,CHANNEL,MODALITY,FLOW_TYPE,PRICE_BASE,MD_DIM,MD_ID,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,BASE_PER,OBS_STATUS,UNIT_MULT,DECIMALS,DONOR_AGENCY,OECD_ID,DONOR_PROJECT_ID,REGION,INCOME_GROUP,CHANNELDELIVERY_CODE,CHANNELDELIVERY_NAME,CATEGORY_CODE,CATEGORY_NAME,FINANCETYPE_CODE,FINANCETYPE_NAME,BIMULTI_CODE,SHORT_DESCRIPTION,PROJECT_TITLE,LONG_DESCRIPTION,SDG_FOCUS,GENDER_EQUALITY,ENVIRONMENT,GOVERNANCE,RMNCH,DRR,NUTRITION,DISABILITY,BIODIVERSITY,CLIMATE_MITIGATION,CLIMATE_ADAPTATION,DESERTIFICATION,AMOUNT_TIED,AMOUNT_UNTIED,AMOUNT_PARTIALLY_UNTIED,NATURE_OF_SUBMISSION,PSIFLAG_CODE,PSIFLAG_NAME
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,140,100,_T,_T,D,Q,_T,0,USD,2022,3.678133,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,140,100,_T,_T,D,Q,_T,0,USD,2023,2.528173,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,230,100,_T,_T,D,Q,_T,0,USD,2021,0.074285,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,310,100,_T,_T,D,Q,_T,0,USD,2019,0.017206,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,310,100,_T,_T,D,Q,_T,0,USD,2020,0.025462,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,310,100,_T,_T,D,Q,_T,0,USD,2021,0.000996,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,310,100,_T,_T,D,Q,_T,0,USD,2022,0.066867,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,1000,100,_T,_T,D,Q,_T,0,USD,2019,29.78329,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,1000,100,_T,_T,D,Q,_T,0,USD,2020,3.17486,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,1000,100,_T,_T,D,Q,_T,0,USD,2021,4.202327,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,1000,100,_T,_T,D,Q,_T,0,USD,2022,5.089574,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,F_X,1000,100,_T,_T,D,Q,_T,0,USD,2023,6.155913,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,BDI,1000,100,_T,_T,D,Q,_T,0,USD,2019,4.18852,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.3),WXDAC,BDI,1000,100,_T,_T,D,Q,_T,0,USD,2020,10.30716,2022,A,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
